"S No",Priority,"KPI List",H/L,LYD,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,"Current Target","Target 2023","Target 2024","Bronze Benchmark",Vision,Pillar
94,2,"Quarterly 5S Audit Score - TSD",H,9.16,,,,,,,,,,,,,,8.00,,,,,TPM
95,2,"Quarterly 5S Audit Score - Quality",H,8.84,33.00,33.00,33.00,33.00,,,,,,,,,,8.00,,,,0,TPM
96,1,"People Competency - RCFA",H,8.33,8.33,0.00,,,,,,,,,,,0.00,81.00,,,,0,TPM
97,4,"Validated Packaging Coaches",H,,,,,,,,,,,,,,,3.00,,,,0,TPM
98,4,"Validated Engineering Coaches",H,,,,,,,,,,,,,,,2.00,,,,0,TPM
99,1,"Supply Chain Cost - TSD Installation/R&M/Operations Cost",L,115069.00,104214.00,,,,,,,,,,,,104214.00,125000.00,125000.00,125000.00,,3,TSD
100,1,"Technical & Non Technical Complaint",L,137.00,137.00,,,,,,,,,,,,,145.00,145.00,145.00,,,TSD
101,1,"Contractors' Performance - Installation",H,87.69,81.47,,,,,,,,,,,,81.47,85.00,90.00,95.00,,,TSD
102,1,"Contractors' Performance - Sanitation",H,80.76,80.97,,,,,,,,,,,,,80.00,85.00,90.00,,,TSD
103,1,"Servicing Conformance to Schedule",H,79.00,68.00,,,,,,,,,,,,68.00,88.00,88.00,88.00,,,TSD
104,2,"People Competency - TSD",H,84.71,83.30,,,,,,,,,,,,,90.00,90.00,90.00,,,TSD
105,2,"Monthly 5S Audit Score - TSD",H,8.35,,,,,,,,,,,,,,8.00,9.00,9.00,,34,TSD
106,2,"Technical Audit Completion",H,202.08,203.00,,,,,,,,,,,,203.00,320.00,320.00,320.00,,,TSD
107,2,"Contractors' Technical Competency",H,93.33,90.00,,,,,,,,,,,,,90.00,100.00,100.00,,,TSD
108,3,"Outstanding Sales Loan Agreement",L,34.75,30.00,10.00,20.00,40.00,,,,,,,,,25.00,10.00,10.00,10.00,,01,TSD
109,3,"Draught Innovation OTIF",H,1.00,0.00,,,,,,,,,,,,0.00,90.00,100.00,100.00,,,TSD
110,1,"Supply Chain Cost",L,85.77,83.72,,,,,,,,,,,,83.72,102.80,98.70,94.60,,84.3,SC
111,1,"Supply Chain Cost - External Warehousing Cost",L,1.26,1.17,4.96,,,,,,,,,,,2.28,1.53,,,,0,WT
112,4,"Supply Chain Cost- 3rd Party Cost",L,1.60,1.80,2.35,,,,,,,,,,,2.04,1.28,,,,0,WT
113,1,"(Can) OPI",H,43.01,48.00,,,,,,,,,,,,48.00,50.00,55.00,60.00,,70,SC
114,4,"Employee Engagement",H,71.00,71.00,,,,,,,,,,,,71.00,80.00,80.00,80.00,,90,PD
115,4,CFR,H,80.80,76.30,,,,,,,,,,,,76.30,85.00,95.00,98.50,,98.5,CV
116,4,"HeiQuest Completion",H,94.74,94.74,94.75,,,,,,,,,,,91.80,100.00,,,,0,PQ
117,4,"HeiQuest Compliance",H,93.33,93.02,93.02,,,,,,,,,,,91.10,95.00,,,,0,PQ
118,4,"FLT Bowtie Project Completion",H,60.00,,,,,,,,,,,,,,,,,,0,WT
119,4,"Absence Rate",L,,999999.99,999999.99,,,,,,,,,,,,3.00,3.00,3.00,,2,Safety
120,4,"Accident Frequency",L,,999999.99,,,,,,,,,,,,,,,,,0,Safety
121,4,"Fatalities Own/Contractors Personel",L,,,,,,,,,,,,,,,,,,,0,Safety
122,4,"Accident - Contractors",L,,999999.99,,,,,,,,,,,,,1.00,1.00,1.00,,0,Safety
123,4,"Incidents - Contractors",L,,,,,,,,,,,,,,,2.00,2.00,2.00,,0,Safety
124,4,"Near Miss - Contractors",L,,,,,,,,,,,,,,,3.00,3.00,3.00,,2,Safety
125,4,"Incident - Own Personnel",H,,,,,,,,,,,,,,,,,,,0,Safety
126,4,"Near Miss - Own Personnel",L,,,,,,,,,,,,,,,,,,,0,Safety
127,4,"Behavioural Observations Performed Peer to Peer / FTE",H,,,,,,,,,,,,,,,,,,,0,Safety
128,4,"Behavioural Observation Performed Contractors / FTE",H,,,,,,,,,,,,,,,,,,,,Safety
129,4,"Raised Safety Tag",H,,,,,,,,,,,,,,,,,,,0,Safety
130,1,"(Can) CO per Week",L,17.00,15.00,456789.00,,,,,,,,,,,15.00,14.00,,,,0,Plan
131,1,"(Can) Downtime due to Planning",L,0.83,0.00,123456.00,,,,,,,,,,,,1.00,,,,0,Plan
132,2,"Write Off Cost per HL - Packaging & Raw Material",L,0.57,0.12,123456.00,,,,,,,,,,,0.12,0.50,,,,0,Plan
133,3,"Supplier OTIF",H,81.00,100.00,123456.00,,,,,,,,,,,100.00,99.00,,,,0,Plan
134,1,"People Competency - Brewing",H,,,,,,,,,,,,,,,,,,,0,"AM Brewing"
135,4,"(Brewhouse) OPI",H,,91.20,,,,,,,,,,,,91.20,,,,,0,"AM Brewing"
136,1,"HOC Audit Score - Packaging",H,,,,,,,,,,,,,,,90.00,,,,0,"AM Packaging"
137,2,"(OWL) Contribution of Minor Stops to OPI",L,15.30,15.80,,,,,,,,,,,,15.80,12.80,12.00,11.50,,10,"AM Packaging"
